Frequency (Hz),Absolute Amplitude (a.u.)
18210.9375,1.02607664
18234.375,0.2351052715
18257.8125,0.5630776374
18281.25,1.478541357
18304.6875,2.890690685
18328.125,0.9956266372
18351.5625,2.204382036
18375,0.1243264596
18398.4375,1.912703724
18421.875,1.857623393
18445.3125,0.8761189469
18468.75,1.132293171
18492.1875,1.544268752
18515.625,0.5273997588
18539.0625,2.088273544
18562.5,1.486054141
18585.9375,0.3364204113
18609.375,1.759334289
18632.8125,2.999913617
18656.25,1.045443756
18679.6875,0.5797549494
18703.125,1.347366808
18726.5625,2.776645324
18750,0.849219761
18773.4375,1.212287957
18796.875,3.223936545
18820.3125,1.788482978
18843.75,2.48022508
18867.1875,2.46408916
18890.625,0.5087281595
18914.0625,0.6200758761
18937.5,1.792743153
18960.9375,2.273127904
18984.375,0.9264906694
19007.8125,1.210550863
19031.25,0.4180876059
19054.6875,1.557586222
19078.125,2.082937494
19101.5625,0.1401131802
19125,0.873890048
19148.4375,2.439269958
19171.875,2.521028175
19195.3125,1.933366201
19218.75,1.416288063
19242.1875,1.077516408
19265.625,4.486057521
19289.0625,1.473260504
19312.5,2.951916901
19335.9375,3.49611777
19359.375,2.145911841
19382.8125,0.8408032148
19406.25,1.230251289
19429.6875,0.7037666391
19453.125,1.092600973
19476.5625,0.7399946235
19500,1.405624241
19523.4375,1.699325708
19546.875,1.36884866
19570.3125,1.446112409
19593.75,4.136653714
19617.1875,3.024861612
19640.625,1.265717587
19664.0625,2.487289302
19687.5,2.489569923
19710.9375,0.8898465841
19734.375,2.950884726
19757.8125,1.678054638
19781.25,1.774690742
19804.6875,1.220787787
19828.125,1.751991866
19851.5625,0.7763140048
19875,0.545819033
19898.4375,1.470220393
19921.875,0.5900932555
19945.3125,1.764099352
19968.75,0.7172403335
19992.1875,2.260553868
20015.625,3.39576538
20039.0625,0.8360198119
20062.5,0.1812194289
20085.9375,0.8348538991
20109.375,0.5555868267
20132.8125,0.9674946074
20156.25,1.588004486
20179.6875,0.8579596331
20203.125,0.7635138744
20226.5625,1.12044277
20250,0.3933664823
20273.4375,0.7791020999
20296.875,0.2690046102
20320.3125,0.2790717583
20343.75,0.1700229827
20367.1875,1.126184158
20390.625,0.1576731799
20414.0625,1.673625838
20437.5,0.05824477042
20460.9375,0.3546064969
20484.375,0.1866255713
20507.8125,0.7680175868
20531.25,1.900403121
20554.6875,0.3708173582
20578.125,1.60602646
20601.5625,2.130333722
20625,0.7836738097
20648.4375,1.232444491
20671.875,0.4423552668
20695.3125,0.8435620488
20718.75,0.9407295904
20742.1875,1.004602745
20765.625,0.7606499802
20789.0625,1.562360711
20812.5,0.3950062073
20835.9375,1.511937622
20859.375,0.857105792
20882.8125,0.6317714778
20906.25,0.8666231357
20929.6875,1.734372954
20953.125,0.9454299756
20976.5625,0.4618127683
21000,0.7333552296
21023.4375,1.66757249
21046.875,0.6455429019
21070.3125,2.102805946
21093.75,0.6053820707
21117.1875,0.4348591124
21140.625,1.124862678
21164.0625,1.352934054
21187.5,1.117650852
21210.9375,1.010666562
21234.375,1.348370918
21257.8125,1.898043244
21281.25,0.9427392551
21304.6875,0.7365928918
21328.125,0.8786313451
21351.5625,0.4608311349
21375,2.152679279
21398.4375,1.038437428
21421.875,0.9026010697
21445.3125,0.1454594905
21468.75,1.015965415
21492.1875,2.017275454
21515.625,0.2044164673
21539.0625,1.982371429
21562.5,1.043789417
21585.9375,0.3327545898
21609.375,1.166605595
21632.8125,0.4674569461
21656.25,1.215952144
21679.6875,1.317187539
21703.125,1.484838612
21726.5625,0.5105263053
21750,1.487940927
21773.4375,0.4637205521
21796.875,0.2575105086
21820.3125,0.8315577205
21843.75,1.081039921
21867.1875,0.5937184937
21890.625,0.2890402074
21914.0625,1.108351686
21937.5,1.112939651
21960.9375,0.3759215008
21984.375,1.469823921
22007.8125,1.366631317
22031.25,1.009729314
22054.6875,0.3959623056
22078.125,0.7143476749
22101.5625,1.255347342
22125,1.658635481
22148.4375,1.486903318
22171.875,0.9128087075
22195.3125,1.315654676
22218.75,0.8319209053
22242.1875,0.6250828267
22265.625,1.453389876
22289.0625,1.417696491
22312.5,0.5667092849
22335.9375,1.311355169
22359.375,0.8757439881
22382.8125,0.7386698994
22406.25,0.3329641033
22429.6875,1.727994068
22453.125,1.208966033
22476.5625,0.07778415268
22500,0.4472031161
22523.4375,0.475349781
22546.875,0.3413859818
22570.3125,0.5978101933
22593.75,0.1703431423
22617.1875,0.71533246
22640.625,0.2532124844
22664.0625,0.2768285347
22687.5,0.1170549708
22710.9375,0.4624034121
22734.375,0.1380465728
22757.8125,0.1626522023
22781.25,0.3038022839
22804.6875,0.1687588326
22828.125,0.5826132462
22851.5625,0.336177585
22875,0.6014392327
22898.4375,0.5582061964
22921.875,0.2807230977
22945.3125,0.6081939271
22968.75,0.1673858434
22992.1875,0.3671176761
23015.625,0.4797476661
23039.0625,0.2659692591
23062.5,0.1168215962
23085.9375,0.3619731671
23109.375,0.06026917214
23132.8125,0.09976800745
23156.25,0.1837208773
23179.6875,0.2934742435
23203.125,0.1928696956
23226.5625,0.151813218
23250,0.5219168757
23273.4375,0.1565254638
23296.875,0.2827082467
23320.3125,0.1581304501
23343.75,0.3918523797
23367.1875,0.2016699602
23390.625,0.1538524151
23414.0625,0.2102126859
23437.5,0.1907134697
23460.9375,0.1450895006
23484.375,0.1490021718
23507.8125,0.0768660781
23531.25,0.06208852411
23554.6875,0.1508660072
23578.125,0.08911825041
23601.5625,0.09858600066
23625,0.03636908959
23648.4375,0.09266417904
23671.875,0.04581704783
23695.3125,0.04634362775
23718.75,0.06087569141
23742.1875,0.07768649395
23765.625,0.08673786789
23789.0625,0.06121177235
23812.5,0.06626809576
23835.9375,0.06939150456
23859.375,0.06946695777
23882.8125,0.06329245268
23906.25,0.06514743771
23929.6875,0.07875272698
23953.125,0.06588007865
23976.5625,0.08113143111
