Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.)
1617.1875,0.02998333264,1617.1875,0.03992903714,1617.1875,0.0377128378,1617.1875,1.528924384,1617.1875,0.1995623056,1617.1875,0.02689300489
1640.625,0.02682607112,1640.625,0.01313263402,1640.625,0.03223754009,1640.625,1.692566957,1640.625,0.1247279264,1640.625,0.1500813985
1664.0625,0.01629318229,1664.0625,0.04577609596,1664.0625,0.01636251547,1664.0625,0.9603614386,1664.0625,0.2256975848,1664.0625,0.2214313049
1687.5,0.01890629007,1687.5,0.02247487064,1687.5,0.03958222489,1687.5,2.861054939,1687.5,0.1244231436,1687.5,0.03378039683
1710.9375,0.01668425568,1710.9375,0.01967709595,1710.9375,0.02372979789,1710.9375,4.623013886,1710.9375,0.1757231204,1710.9375,0.06514969696
1734.375,0.02248548072,1734.375,0.02103420381,1734.375,0.01001257341,1734.375,2.649238971,1734.375,0.1907128233,1734.375,0.02640182774
1757.8125,0.02758241811,1757.8125,0.002606521242,1757.8125,0.01886039742,1757.8125,2.194795602,1757.8125,0.1875466326,1757.8125,0.03267101736
1781.25,0.01420065803,1781.25,0.0284840619,1781.25,0.01857012001,1781.25,0.9859440253,1781.25,0.1684879589,1781.25,0.05129634504
1804.6875,0.01320468678,1804.6875,0.008553976144,1804.6875,0.04121919934,1804.6875,0.8516110197,1804.6875,0.1342468432,1804.6875,0.05151548986
1828.125,0.006685182229,1828.125,0.01981021728,1828.125,0.01439617276,1828.125,1.163443369,1828.125,0.05007054689,1828.125,0.04745721972
1851.5625,0.02569846308,1851.5625,0.01087681583,1851.5625,0.02739087938,1851.5625,1.268622125,1851.5625,0.147116586,1851.5625,0.1107961421
1875,0.01161822235,1875,0.01180705567,1875,0.006735880642,1875,0.7296541998,1875,0.1280323213,1875,0.02366233554
1898.4375,0.001085227072,1898.4375,0.01907785386,1898.4375,0.03776649717,1898.4375,1.45785287,1898.4375,0.08315806989,1898.4375,0.0327367057
1921.875,0.02890520594,1921.875,0.0238406939,1921.875,0.04207988562,1921.875,1.789818269,1921.875,0.076617925,1921.875,0.0551878207
1945.3125,0.007083643442,1945.3125,0.003815442363,1945.3125,0.05053252222,1945.3125,1.560407374,1945.3125,0.01185296308,1945.3125,0.02010057687
1968.75,0.02447079046,1968.75,0.006265141502,1968.75,0.0597552691,1968.75,2.21280943,1968.75,0.03737854256,1968.75,0.08705988184
1992.1875,0.01781115174,1992.1875,0.01885022573,1992.1875,0.02543685539,1992.1875,0.7486673425,1992.1875,0.02687236352,1992.1875,0.04503568072
2015.625,0.01757014494,2015.625,0.007495588669,2015.625,0.0235870411,2015.625,1.943718679,2015.625,0.04765841301,2015.625,0.03664031643
2039.0625,0.02103595818,2039.0625,0.008438750298,2039.0625,0.05338101842,2039.0625,1.86019955,2039.0625,0.07403797879,2039.0625,0.01737192004
2062.5,0.008760562849,2062.5,0.0101823547,2062.5,0.02466043496,2062.5,2.097992704,2062.5,0.04730777616,2062.5,0.05541583358
2085.9375,0.01262865157,2085.9375,0.01617825943,2085.9375,0.05455914899,2085.9375,0.2984035525,2085.9375,0.01158582289,2085.9375,0.02621061737
2109.375,0.02936642643,2109.375,0.01946406317,2109.375,0.01479141277,2109.375,0.8770495279,2109.375,0.09298124168,2109.375,0.04950185287
2132.8125,0.02851408187,2132.8125,0.0146525027,2132.8125,0.03834757507,2132.8125,1.511577137,2132.8125,0.1255533314,2132.8125,0.03107062059
2156.25,0.02012733327,2156.25,0.02198666423,2156.25,0.02562083609,2156.25,0.3547070873,2156.25,0.02686128552,2156.25,0.04365965274
